name,latitude,longitude,rating,number_of_reviews,affluence
Maa Restaurants,24.043671600000003,90.9877288,3.4,12.0,
Boishakhi Hotel,24.0165164,90.9860938,3.7,34.0,
Shahen Shah Hotel,24.0437414,91.0087419,4.1,22.0,
গৌরীপুর জামে মসজিদ,24.033383999999998,90.976834,5.0,2.0,
Hotel Ujanvati & Resort,24.0368372,91.0102517,3.4,9505.0,
Janani Restaurant,24.046126,90.9874928,4.2,6.0,
Hotel Rajmoni Exclusive,24.0364926,91.0139206,3.2,4373.0,$$
Asia Hotel and Sweet meat,24.046965,90.986191,4.0,2.0,
জান্নাত ভ্যারাইটিজ স্টোর,23.9258247,91.1161166,0.0,,
খুরশিদ মিয়ার (খুশু মিয়া) চায়ের দোকান,23.9107331,91.1014902,0.0,,
সজিব রেস্টুরেন্ট,23.927721899999998,91.1314547,2.0,1.0,
সুহাতা চকবাজার।,23.9276089,91.1315581,5.0,2.0,
Food Point Cafe & Restaurant,23.7711319,90.80529840000001,3.9,34.0,
মিঃ কিচেন রেস্টুরেন্ট MR. Kitchen Restaurant,23.7736074,90.79756590000001,3.9,29.0,
জগরার চর,23.762066,90.79854859999999,0.0,,
SALAM,23.7714535,90.8119918,0.0,,
CFC RESTAURANT,23.7674907,90.8112589,4.0,2.0,
ভুজন বাড়ি রেস্টুরেন্টে,23.772053699999997,90.80227629999999,3.8,59.0,
Bismillah Restaurant,23.7722828,90.8010136,3.8,155.0,
আক্তার নাস্তার দোকান,23.787860600000002,90.8064123,5.0,2.0,
স্বপ্নীল ফাস্ট ফুড এন্ড জুস সেন্টার,23.775675399999997,90.8081097,3.7,3.0,
Foysal Flute,23.7736832,90.79761590000001,0.0,,
Respect for each other,23.7753335,90.803813,0.0,,
Shopnil coffee House & restaurant,23.775675399999997,90.8081097,0.0,,
Bandari hotel and restaurant,23.7728237,90.8009401,0.0,,
Vhoter Adda Fast Food,23.7759265,90.8098642,3.0,1.0,
Mayer Doa Computer Center,23.7706056,90.80190479999999,5.0,1.0,
আজাদ,23.780772199999998,90.8145609,0.0,,
ডেইলি ফ্রেশ হোটেল,23.777778299999998,90.7962034,4.3,3.0,
Pata ghar coffee house,23.775904,90.8089717,4.0,2.0,
Hazi Building,24.0141859,91.2265536,0.0,,
bk,24.0287998,91.230899,0.0,,
Mayer Duwa Coffee House & Firstfood,24.028415300000002,91.230159,4.3,3.0,
"Billghor ,বিলঘর",23.730455499999998,91.1113378,4.5,15.0,
গাউছিয়া হোটেল,23.764871399999997,91.1094384,0.0,,
The Food Palace,23.7481594,91.14557640000001,4.3,117.0,
Khan Romansiah,23.749684100000003,91.1390762,5.0,2.0,
"Joynal Palace ,Billghor",23.7311888,91.1131265,3.0,2.0,
The Indiana,23.7480367,91.13794190000002,5.0,1.0,
Kasba Resturant,23.7338249,91.13405379999999,5.0,1.0,
Family Feast,23.749795499999998,91.1461538,0.0,,
Tasty Bites,23.747897100000003,91.1461964,4.3,76.0,$$
